All,Сите
"Enter SKU or Product Name","Внесете SKU или име на продуктот"
"This shipping method is not available. To use this shipping method, please contact us.","Начинот на испорака е достапен. Да го користете овој начин на испорака, ве молиме контактирајте не."
"Shipping & Handling (%1)","Испорака & Достава (%1)"
Carts,Кошнички
"Manage carts","Менаџирај кошнички"
"You cannot specify multiple shipping addresses.","Неможете да поставире повеќе адреси за испорака."
"The shipping address must contain either ""customer_address_id"" or ""address"".","Адресата за испорака мора да содржи ""customer_address_id"" или ""address""."
"The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time.","Адресата за испорака неможе да содржи ""customer_address_id"" и ""address"" во исто време."
subtotal,вкупно
"grand total",вкупно
"Item %1 %2 %3:","Продукт %1 %2 %3:"
"Item SKU %1 %2 ","Продукт SKU %1 %2 "
"The item was added to shopping cart %1, store view %2.","Продуктот е додаден во кошничката %1, продавница %2."
"Number of Items","Број на продукти"
"Number of wish list items %1 %2 ","Број на продукти во листата со желби %1 %2 "
"Wish List %1 shared","Листата со желби %1 е споделена"
"The item was added to wish list %1, store view %2.","Продуктот е додаден во листа со желби%1, продавница %2."
"Show Reviews","Покажи мислења"
"Customers Reviews","Мислења од купувачи"
"Reviews for %1","Мислења за %1"
"Products Reviews","Мислења за продукти"
"Invoiced Orders","Фактурирани нарачки"
"Wish List Purchase","Купувања од листа со желби"
Review,Мислење
Reviews,Мислења
"Product Reviews","Мислења за продукти"
"Customers that have Wish List: %1","Купувачи што имаат листа со желби: %1"
"Number of Wish Lists: %1","Број на листи со желби: %1"
"Number of items bought from a Wish List: %1","Број на купени продукти од листата со желби: %1"
"Number of times Wish Lists have been shared (emailed): %1","Број на пати листите со желби биле споделени (пратени по емаил): %1"
"Products in Cart","Продукти во кошничка"
"Abandoned Cart","Напуштена кошничка"
"Ordered Quantity","Порачена количина"
"Last Review","Последно мислење"
"You added %1 item(s) to your shopping cart.","Додадовте %1продукт/и во вашата кошничка."
"%1 item(s) were copied to %2","%1 продукт/и се копирани во %2"
"%1 item(s) were added to the ""%2""","%1 продукт/и се додадени на ""%2"""
"%1 item(s) were moved to %2","%1 продукт/и се копирани во %2"
Rename,Преименувај
"Edit item","Измени го продуктот"
"Remove Selected","Отстрани го избраното"
Ok,"Во ред"
"Please Select Product","Ве молиме изберете продукт"
"Please select at least one product to proceed.","Ве молиме изберете барем еден продукт за да продолжите."
"Name & Description","Име & Опис"
"Save Review","Зачувај мислење"
"New Review","Ново мислење"
"Review Details","Детали за мислење"
Nickname,Прекар
"Summary of Review","Преглед од мислење"
"Save and Previous","Зачувај и претходно"
"Save and Next","Зачувај и следно"
"Delete Review","Избриши мислење"
"Edit Review '%1'","Измени мислење '%1'"
"Update Status","Ажурирај статус"
"Pending Reviews of Customer `%1`","Мислења од купувач на чекање `%1`"
"Pending Reviews","Мислења на чекање"
"All Reviews of Customer `%1`","Сите мислења од купувач `%1`"
"All Reviews of Product `%1`","Сите мислења од продукт `%1`"
"All Reviews","Сите мислења"
"Save Rating","Зачувај оценка"
"Delete Rating","Избриши оценка"
"New Rating","Нова оценка"
"Pending product review(s)","Мислење/а за продукт на чекање"
"Review: %1 <br/>","Мислење: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Кликни <a href=""%1"">овде</a> за да го видиш мислењето."
"Product: ""%1"" reviewed by: %2","Продукт: ""%1"" мислење од: %2"
"Reviews %1","Мислења %1"
"The review has been deleted.","Мислењето е избришено."
"Customer Reviews","Мислења од купувачи"
"Edit Review","Измени мислење"
"Please select review(s).","Ве молиме одберете мислење/а."
"You saved the review.","Го зачувавте мислењето."
Ratings,Оценки
"My Product Reviews","Мои мислења за продукти"
"We can't post your review right now.","Во моментот неможеме да го објавиме вашето мислење."
"Please enter a nickname.","Ве молиме внесете прекар."
"Please enter a review.","Ве молиме внесете мислење."
Rating,Оценка
"You have submitted no reviews.","Немате дадено мислења за продукти."
"My Recent Reviews","Мои последни мислења"
"View All","Види ги сите"
"Your Review","Вашето мислење"
"Submitted on %1","Поднесено на %1"
"Back to My Reviews","Назад кон моите мислења"
"Ratings Review Summary","Преглед на оценки од мислења"
"Be the first to review this product","Бидете први што ќе дадете мислење за овој продукт"
"Write Your Own Review","Дадете ваше мислење"
"You're reviewing:","Давате мислење за:"
"Your Rating","Вашате оценка"
"Submit Review","Дади мислење"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Само регистрирани купувачи можат да дадат мислење. Ве молиме <a href=""%1"">најавете се</a> или <a href=""%2"">регистрирајте профил</a>"
"Add Your Review","Додадете го вашето мислење"
"%1 Review(s)","%1 мислење/а"
"Review by","Мислење од"
"Posted on","Објавено на"
"Product Review (submitted on %1):","Мислење за продукт (дадено на %1):"
"Back to Product Reviews","Назад кон мислења за продукти"
"Allow Guests to Write Reviews","Дозволи гости да дадат мислења"
"Newsletter Signup","Пријава за елктронски новости"
"Select Items","Избери продукти"
"Please Select Order","Ве молиме изберете нарачка"
"Submit Comment","Испрати Коментар"
"Remaining Qty","Останата кол."
"Requested Qty","Побарана кол"
"Add Details","Додади детали"
"Please enter a valid message.","Ве молиме валидна порака."
"We cannot display the available shipping methods.","Неможеме да ги прикажеме достапните начини на испорака."
"Order # ","Нарачка # "
"Ordered: ","Порачено: "
"Authorized Qty","Авторизирана кол."
"Returned Qty","Вратена кол."
"Approved Qty","Одобрена кол."
"You entered an invalid email address: ""%1"".","Внесовте невалидна емаил адреса: ""%1""."
"All Items","Сите продукти"
"Account &amp; Shipping Information","Информации за Профилот &amp; Испорака"
"Request Details","Побарај детали"
"Customer Name","Име на купувачот"
"Comment Text","Коментар текст"
"Order Shipping Address","Адреса за испорака за нарачката"
"Qty Ordered","Кол. нарачена"
"Change shipping method.","Промени го начинот на испорака."
"Order &amp; Account Information","Нарачка &amp; Информации за профилот"
"Please Select Products to Add","Ве молиме изберете продукти за додавање"
"Add Item To Return","Додади продукт за враќање"
"Shipping and Tracking Information","Информации за испорака"
"Request Qty","Побарана кол."
"Hide Details","Сокриј детали"
"Show Details","Покажи детали"
"Leave Comment","Остави коментар"
"%store_name:  New customer comment","%store_name:  Нов коментар од купувач"
"Customer %name has left a new comment:","Купувачот %name даде нов коментар:"
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","Можете да го проверите статусот на вашата нарачка <a href=""%account_url"">најавувајки се на вашиот профил</a> или <a href=""%form_url"">користејки го бројот на нарачката</a>."
"Placed on %created_at","Направена на %created_at"
"Contact Name","Име за контакт"
"Credit Memos","Кредитни белешки"
"Create New Order","Креирај нова нарачка"
"Save Order Address","Зачувај адреса на нарачка"
"Order Address Information","Информации за адресата на нарачката"
"Submit Order","Поднеси нарачка"
"Are you sure you want to cancel this order?","Дали сте сигурни дека сакате да ја отстраните оваа нарачка?"
"Order Comment","Коментар за нарачката"
"Please select a customer","Ве молиме изберете купувач"
"Edit Order #%1","Измени нарачка #%1"
"Items Ordered","Порачени продукти"
"Please select products","Ве молиме изберете продукти"
"Update Changes","Ажурирај промени"
"Are you sure you want to delete all items from shopping cart?","Дали сте сигурни дека сакате да ги избришете сите продукти од кошничката?"
"Products in Comparison List","Продукти во листата за споредба"
"Last Ordered Items","Последно порачани продукти"
"Please select a store","Ве молиме изберете продавница"
"Order Grand Total",Вкупно
"Send Email","Испрати емаил"
"Credit Memo #%1 | %3 | %2 (%4)","Кредитна белешка #%1 | %3 | %2 (%4)"
"Submit Invoice and Shipment","Поднеси фактура и испорака"
"Submit Invoice","Поднеси фактура"
"Credit Memo","Кредитна белешка"
"Order Statuses","Статуси на нарачка"
"Edit Order Status","Измени статус на нарачката"
"Save Status","Зачувај статус"
"Order Status Information","Информации за статусот на нарачката"
"Comments History","Историја на коментари"
"Order History","Историја на нарачки"
"Order Information","Информации за нарачката"
"Order Invoices","Фактури за нарачката"
"Back to My Orders","Назад кон моите нарачки"
"View Another Order","Види друга нарачка"
"You have placed no orders.","Немате направено нарачки."
"Print Order # %1","Испринти нарачка #%1"
"You canceled the order.","Ја откажавте нарачката."
"New Order","Нова нарачка"
"Edit Order","Измени нарачка"
"You put the order on hold.","Ја ставивте нарачката на чекање."
"You canceled the invoice.","Ја откажавте фактурата."
"Invoice canceling error","Грешка во откажувањето на фактурата"
"You saved the gift card message.","Ја зачува пораката на подарок ваучерот."
"Orders and Returns","Нарачки и враќања"
"Shipping Address: ","Адреса за испорака: "
"Billing Address: ","Адреса за плаќање: "
"Please enter the phone number.","Ве молиме внесете телефонски број."
"Please enter the zip/postal code.","Ве молиме внесете поштенски код."
"Unknown Status","Непознат статус"
"Canceled order online","Откажана нарачка online"
"Canceled order offline","Откажана нарачка offline"
"Order Date: ","Датум на нарачка: "
"Credit Memo # ","Кредитна белешка # "
"We can't save the address:\n%1","Неможеме да ја зачуваме адресата:\n%1"
"New Orders","Нови нарачки"
"Order #%1 created at %2","Нарачка #%1 направена на %2"
"Details for %1 #%2","Детали за %1 #%2"
"Comment: %1<br/>","Коментар: %1<br/>"
"Current Status: %1<br/>","Сегашен статус: %1<br/>"
"Order # %1 Notification(s)","Нарачка # %1 известување/а"
"Payment Review","Преглед на плаќање"
"Group was removed","Групата беше отстранета"
"No Payment Methods","Нема начни на плаќање"
"Order Comments","Коментари за нарачката"
"Payment &amp; Shipping Information","Информации за Плаќање &amp; Испорака"
"Same As Billing Address","Исто како адресата за плаќање"
"Select from existing customer addresses:","Избери од постоечките адреси на купувачот:"
"Move to Shopping Cart","Премести во кошничка"
"You don't need to select a shipping method.","Неморате да изберете начин на испорака."
"Grand Total Excl. Tax","Вкупно без ДДВ"
"Grand Total Incl. Tax","Вкупно со ДДВ"
"Payment &amp; Shipping Method","Начин на плаќање &amp; испорака"
"The order was placed using %1.","Нарачката е направена во %1."
"Items to Refund","Продукти за враќање"
"Qty to Refund","Кол. за враќање"
"No Items To Refund","Нема продукти за враќање"
"Items Refunded","Вратени продукти"
"No Items","Нема продукти"
"Customer Name: %1","Име на купувачот: %1"
"Shipping &amp; Handling","Испорака &amp; Достава"
"Qty to Invoice","Кол. за фактурирање"
"Invoice Comments","Коментар за фактура"
"Items Invoiced","Фактурирани продукти"
"Order & Account Information","Нарачка & Информации за профилот"
"Order Date","Датум на нарачка"
"Order Date (%1)","Датум на нарачка (%1)"
"Comment added","Додаден коментар"
"Is Closed","Е затворено"
"Billing Last Name","Презиме за плаќањето"
"Find Order By","Пронајди ја нарачката преку"
"ZIP Code","Поштенски код"
"Billing ZIP Code","Поштенски код за плаќање"
"Print Order","Испринти ја нарачка"
"Print All Invoices","Испринти ги сите фактури"
"Print Invoice","Испринти фактура"
"About Your Order","За вашата нарачка"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Датум на нарачка:</span> %1"
"Recent Orders","Неодамнешни нарачки"
"Recently Ordered","Последно нарачени"
"Thank you for your order from %store_name.","Благодариме за вашата нарачка од %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Можете да го проверите статусот на вашата нарачка <a href=""%account_url"">најавувајки се на вашиот профил</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Доколку имате прашања за вашата нарачка, можете да ни пратите емаил на <a href=""mailto:%store_email"">%store_email</a>"
"Billing Info","Информации за плаќање"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Вашата нарачка #%increment_id е ажурирана со статус <strong>%order_status</strong>."
"Invoice for your %store_name order","Фактура за вашата нарачка - %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Вашата фактура #%invoice_id за нарачка #%order_id"
"Update to your %store_name invoice","Вашата фактура е ажурирана - %store_name"
"Your %store_name order confirmation","Потврда за вашата нарачка - %store_name"
"Once your package ships we will send you a tracking number.","Веднаш штом ќе ја испорачаме вашата нарачка ќе ве известиме."
"Your Order <span class=""no-link"">#%increment_id</span>","Вашата нарачка <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Направена на <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Веднаш штом ќе ја испорачаме вашата нарачка ќе ве известиме."
"Update to your %store_name order","Вашата нарачка е ажурирана - %store_name"
"Your %store_name order has shipped","Вашата нарачка е испорачена - %store_name"
"Your shipping confirmation is below. Thank you again for your business.","Вашата испратница за потврда е подолу. Уште еднаш благодариме што купувате кај нас."
"Your Shipment #%shipment_id for Order #%order_id","Вашата испратница #%shipment_id за нарачка #%order_id"
"Update to your %store_name shipment","Вашата испорака е ажурирана - %store_name"
"Shipment Comments","Коментари за испорака"
"ZIP/Post Code","Поштенски код"
"Default Status","Предодреден статус"
"Item Status","Статус на продукт"
"Print Invoices","Испринти фактури"
"Print All","Испринти ги сите"
"Move to Archive","Премести во архива"
"We removed %1 order(s) from the archive.","Отстранивме %1 нарачка/и од архивата."
"We have removed the order from the archive.","Ја отстранивме нарачката од архивата."
"Please specify the order ID to be removed from archive.","Ве молиме специфирајте го ID-то на нарачката за да биде отстранета од арживата."
"Go to Archive","Оди на архива"
"Coupon Qty","Кол. на купони"
"Quantity in cart","Количина во кошничка"
"Price in cart","Цена во кошничка"
"Continue Processing","Продолжи со процесирање"
"Save Search","Зачувај го пребарувањето"
"Delete Search","Избриши пребарување"
"Edit Search '%1'","Измени пребарување '%1'"
"Edit Search","Измени пребарување"
"Please select searches.","Ве молиме изберете прабарувања."
"Please enter a sender name.","Ве молиме внесете име на испраќач."
"Please enter a message.","Ве молиме внесете порака."
"Please enter a correct recipient email address.","Ве молиме внесете точна емаил адреса на примачот."
"Remove Recipent","Отстрани Примач"
"Maximum %1 email addresses allowed.","Дозволени се максимум %1 емаил адреси."
"Welcome, %name","Добредојдовте, %name"
"%sender_name wants to share this product with you:","%sender_name сака да го сподели овој продукт со вас:"
"Please provide Name for all of recipients.","Ве молиме обезбедете Име за сите примачи."
"Please provide Name of sender.","Ве молиме обезбедете Име за праќачот."
"Cannot delete product with id %1","Неможе да се избрише продуктот со id %1"
"Catalog Details","Детали за каталогот"
"Submit Shipment","Поднеси испорака"
"Cannot add new comment.","Неможе да се додаде коментарот."
"This shipping method is not available. Please specify the zip code.","Овој начин на испорака не е достапен. Ве молиме наведете го поштенскиот код."
"Items to Ship","Продукти за испорака"
"Qty to Ship","Кол. за испорака"
"Shipping &amp; Handling Information","Информации за испорака &amp; достава"
"Items Shipped","Испорачани продукти"
"Print All Shipments","Испринти ги сите испораки"
"Print Shipment","Испринти испорака"
" for more information or "," за повеќе информации или "
"In Review","На прегледување"
"Save & Generate","Зачувај & генерирај"
"Edit Sitemap","Измени ја мапата на сајтот"
"New Sitemap","Нова мапа на сајтот"
Sitemap,"Мапа на сајтот"
"Add Sitemap","Додади мапа на сајтот"
"You deleted the sitemap.","Ја избришавте мапата на сајтот."
"This sitemap no longer exists.","Оваа мапа на сајтот не постои повеќе."
"The sitemap ""%1"" has been generated.","Мапата на сајтот ""%1"" е генерирана."
"You saved the sitemap.","Ја зачувавте мапата на сајтот."
"Remove from Update","Отстрани од Ажурирање"
"Date & Time","Датум & Време"
"You removed this %1 from the update and saved it in the other one.","Ја отстранивте оваа %1 од ажурањето и ја зачувавте во друга."
"You removed this %1 from the update.","Го отстранивте ова %1 од ажурирање."
"You removed this %1 from the update and saved it in a new one.","Ја отстранивте оваа %1 од ажурањето и ја зачувавте во нова."
"Delete Update","Избриши го ажурирањето"
"This action is unavailable","Оваа акција е недостапна"
"Your Language:","Вашиот јазик:"
"Your Language","Вашиот јазик"
Language,Јазик
"Go to Top","Оди на врвот"
"[%1 days ago]","[пред %1 денови]"
"Delete ""%1""","Избриши ""%1"""
"Refresh Status","Освежи статус"
more,повеќе
"Show Related Products","Покажи поврзани продукти"
"Zip/Post Code","Поштенски код"
"Subtotal (Excl.Tax)","Вкупно (без ДДВ)"
"Subtotal (Incl.Tax)","Вкупно (со ДДВ)"
"Shipping & Handling (Excl.Tax)","Испорака & Достава (без ДДВ)"
"Shipping & Handling (Incl.Tax)","Испорака & Достава (со ДДВ)"
"Grand Total (Excl.Tax)","Вкупно (без ДДВ)"
"Grand Total (Incl.Tax)","Вкупно (со ДДВ)"
"Yes (only price with tax)","Да (само цена со данок)"
"Grand Total (Excl. Tax)","Вкупно (без ДДВ)"
"Grand Total (Incl. Tax)","Вкупно (со ДДВ)"
"customer group","група на купувачи"
"Excl. tax:","Без ДДВ:"
Taxes,Даноци
"Display Subtotal","Прикажи вкупно"
"(Excl. Tax)","(Без ДДВ)"
"(Incl. Tax)","(Со ДДВ)"
"Order Total Excl. Tax","Вкупно без ДДВ"
"Order Total Incl. Tax","Вкупно со ДДВ"
"Save and Continue","Зачивај и продолжи"
"JavaScript seems to be disabled in your browser.","Изгледа дека JavaScript е оневозможен во вашиот веб прелистувач."
"For the best experience on our site, be sure to turn on Javascript in your browser.","За најдобро искуство на нашата продавница, задолжително вклучете го JavaScript во вашиот веб прелистувач."
"%1 Item(s)","%1 Продукт/и"
Menu,Мени
"Go to Details Page","Оди на страната со детали"
"Please enter {0} words or less.","Ве молиме внесете {0} зборови или помалку."
"Please enter at least {0} words.","Ве молиме внесете барем {0} збор/зборови."
"Please enter between {0} and {1} words.","Ве молиме внесете помеѓу {0} и {1} зборови."
"Letters or punctuation only please","Ве молиме внесете само букви или интерпункциски знаци"
"Letters, numbers, spaces or underscores only please","Ве молиме внесете само букви, броеви, празни места или долна црта"
"Letters only please","Ве молиме внесете само букви"
"No white space please","Ве молиме без празни места"
"Please specify a valid phone number","Ве молиме наведете валиден телефонски број"
"HTML tags are not allowed.","HTML тагови не се дозволени."
"Please select an option.","Ве молиме изберете опција."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ве молиме внесете валиден телефонски број."
"Please enter a valid email address (Ex: johndoe@domain.com).","Ве молиме внесете валидна емаил адреса (пр. johndoe@domain.com)."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Минималната должина на ова поле мора да биде еднаква или поголема од %1 симболи. Водечките и задните простори ќе бидат игнорирани."
"Please enter a valid zip code.","Ве молиме внесете валиден поштенски код."
Category:,Категорија:
"Account Status","Статус на профилот"
"We'll email you a link to reset your password.","Ќе ви пратиме емаил со линк за ресетирање на лозинката."
"Please correct this email address:","Ве молиме корегирајте ја емаил адресата:"
"Please enter an email address.","Внесете емаил адреса."
email,емаил
"Password is required field.","Лозинката е задолжителна."
"Your password must be at least %1 characters.","Лозинката мора да содржи барем %1 карактери."
"Password Help","Помош за лозинка"
"Enter your email address.  You will receive an email with a link to reset your password.","Внесете ја вашата емаил адреса. Ќе добиете емаил порака со линк за ресетирање на вашата лозинка."
"Email address","Емаил адреса"
"Retrieve Password","Ресетирај лозинка"
"Back to Sign in","Назад кон најава"
"Forgot your password?","Ја заборавивте вашата лозинка?"
"Reset a Password","Ресетирај лозинка"
"Hello,","Здраво,"
"If you have not authorized this action, please contact us immediately at %store_email","Доколку не ја одобрувате оваа промена, ве молиме контактирајте не веднаш на %store_email"
"Thanks,","Благодариме,"
"If you requested this change, reset your password here:","Доколку вие поднесовте барање за оваа промена, поставете нова лозинка овде:"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Добивме барање за промена на следните информации во врска со вашиот профил на %store_name: %changes."
"Preview is not available.","Прегледот не е достапен."
Next/Previous,"Следно / Претходно"
"Show in navigation menu.","Покажи во навигационото мени."
"Add Product by SKU","Додади продукт по SKU"
"Undefined Action","Недефинирана акција"
"Name: A - Z","Име: А - Ш"
"Name: Z - A","Име: Ш - А"
"Sort by color","Сортирај по боја"
"Save and Close","Зачувај и затвори"
"Determines which products are 'low stock'","Одредува кои продукти се на 'ниска залиха'"
"Edit Customer","Измени купувач"
"Website Closed","Веб сајтот е затворен"
"Total Incl. Tax","Вкупно со ДДВ"
description,опис
"Wish List Sharing","Сподели ја листата со желби"
"My Wish List","Моја листа со желби"
"We can't add the item to Wish List right now: %1.","Во моментот неможеме да го додадеме продуктот во листата со желби %1."
"We can't add the item to Wish List right now.","Во моментот неможеме да го додадеме продуктот во листата со желби."
"%1 has been moved to your wish list.","%1 е преместен во вашата листа со желби."
"We can't move the item to the wish list.","Неможеме да го преместиме продуктот во листата со желби."
"You must login or register to add items to your wishlist.","Мора да бидете најавени за да додадете продукти во вашата листа со желби."
"We can't delete the item from Wish List right now because of an error: %1.","Неможеме да го избришеме продуктот од Листата со желби сега, поради следната грешка: %1."
"We can't delete the item from the Wish List right now.","Неможеме да го избришеме продуктот од Листата со желби сега."
"Your wish list has been shared.","Вашата листа со желби е споделена."
"We can't delete item from Wish List right now.","Неможеме да го избришеме продуктот од листата со желби сега."
"%1 has been updated in your Wish List.","%1 е ажуриран во вашата листа со желби."
"Can't update wish list","Листата со желби неможе да се ажурира"
"We can't update your Wish List right now.","Неможеме да ја ажурираме вашата листа со желби сега."
"The requested Wish List doesn't exist.","Бараната листа со желби не постои."
"Display number of items in wish list","Покажи број на продукти во листата со желби"
"We can't specify a wish list.","Неможеме да наведеме листа со желби."
"We can't update the Wish List right now.","Неможеме да ја ажурираме листата со желби сега."
Comment:,Коментар:
"We cannot retrieve the Wish List.","Не можеме да ја превземеме листата со желби."
"%1's Wishlist","Листата со желби на %1"
"We can't specify a wish list item.","Неможеме да наведеме продукт од листата со желби."
"Share Wish List","Сподели листа со желби"
"Add All to Cart","Додади ги сите во кошничка"
"Update Wish List","Ажурирај листа со желби"
"Move to Wishlist","Премести во листа со желби"
"This Wish List has no Items","Оваа листа со желби нема продукти"
"%1 has been added to your Wish List.","%1 е додаден во вашата листа со желби."
"RSS link to %1's wishlist","RSS врска до листата со желби на %1"
"Wish List is empty now.","Листата со желби сега е празна."
"Email addresses, separated by commas","Емаил адреси, одделени со запирка"
"Last Added Items","Последно додадени продукти"
"Go to Wish List","Оди во листа со желби"
"You have no items in your wish list.","Немате продукти во листата со желби."
"Take a look at %customer_name's Wish List","Види ја листата со желби на %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name сака да ја сподели оваа Листа со желби од %store_name со вас:"
"View all Wish List items","Види ги сите продукти од листата со желби"
"Wish List Section","Листа со желби Секција"
"My Wish List Link","Врска до мојата листа со желби"
"No Items Found","Не се пронајдени продукти"
"Product Details and Comment","Детали за продуктот и коментари"
"Your purchase process has been cancelled.","Вашиот процес на купување беше откажан."
"Allow To Edit Contact Information","Дозволи Измени на Информациите за контакт"
"Hide Contact Information","Сокриј информации за контакт"
"Payment was canceled.","Плаќањето беше откажано."
"Payment was canceled","Плаќањето беше откажано"
"continue shopping","продолжи со купување"
"Quick Checkout","Брза нарачка"
"Store alternative addresses","Зачуваш повеќе адреси"
"For shipping to multiple family members and friends","Доколку сакаш да направиш испорака на некој член од семејството или пријател"
"Credit memo for your %store_name order","Кредитна белешка за вашата нарачка - %store_name"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Доколку имате прашања за вашата нарачка, можете да ни пратите емаил на <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Вашата Кредитна белешка #%creditmemo_id за нарачка #%order_id"
"Update to your %store_name credit memo","Вашата Кредитна белешка е ажурирана - %store_name"
Warning,Предупредување
"Recent items","Последни продукти"
"Show all...","Покажи ги сите..."
"Please enter a number greater 0 in this field.","Ве молиме внесете број поголем од 0."
"Please select one of each ratings above.","Ве молиме изберете една од наведените оценки."
"Please wait...","Ве молиме почекајте..."
Translate,Преведи
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ве молиме наведете валиден телефонски број."
"Please select a file.","Ве молиме изберете датотека."
"Please select one of the options.","Ве молиме изберете една од опциите."
"Please enter the same value again.","Ве молиме повторно да ја внесете истата вредност."
